x,y,h,w
238, 257, 347, 420
234, 256, 346, 432
234, 270, 350, 432
232, 269, 348, 432
229, 252, 348, 432
227, 254, 348, 432
227, 255, 348, 432
227, 255, 348, 432
227, 255, 348, 432
227, 256, 348, 431
224, 256, 348, 431
218, 256, 348, 429
214, 256, 348, 429
210, 256, 348, 428
208, 256, 348, 428
208, 256, 348, 428
208, 255, 348, 428
209, 255, 348, 428
210, 255, 348, 428
210, 255, 348, 428
210, 256, 348, 428
210, 256, 348, 428
210, 256, 348, 428
210, 256, 348, 428
210, 256, 348, 428
210, 256, 348, 428
210, 256, 348, 428
210, 257, 348, 428
210, 257, 348, 428
210, 257, 348, 428
210, 257, 348, 428
254, 259, 348, 404
187, 204, 305, 424
179, 215, 361, 424
234, 215, 366, 306
171, 215, 374, 426
170, 215, 374, 427
169, 215, 367, 427
169, 215, 363, 428
170, 215, 355, 429
170, 215, 351, 429
170, 215, 351, 428
170, 216, 351, 428
170, 216, 351, 428
169, 216, 351, 428
169, 216, 351, 428
169, 288, 249, 428
244, 216, 351, 311
169, 216, 351, 428
170, 216, 351, 428
225, 216, 351, 315
227, 216, 351, 313
227, 216, 351, 313
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 351, 311
244, 216, 350, 311
243, 216, 348, 311
244, 216, 335, 311
241, 216, 333, 309
227, 216, 333, 314
227, 216, 333, 313
227, 216, 333, 313
227, 216, 333, 313
237, 216, 333, 306
241, 216, 334, 306
241, 216, 334, 306
241, 216, 334, 306
241, 216, 334, 306
244, 216, 334, 306
244, 216, 334, 304
244, 216, 335, 304
170, 216, 299, 428
170, 216, 300, 428
168, 216, 300, 427
168, 217, 300, 427
168, 217, 300, 427
169, 217, 300, 427
169, 283, 249, 427
251, 227, 369, 308
247, 227, 369, 311
249, 227, 369, 313
249, 227, 369, 313
247, 227, 369, 312
249, 227, 369, 311
249, 227, 366, 313
227, 228, 363, 313
181, 262, 314, 363
181, 263, 314, 363
